SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team1WithIntUi_metrics_76,Baseline1,0,27943378.0,511360.0,6,2,0,0
team1WithIntUi_metrics_77,Baseline1,0,18807860.0,451346.0,5,2,0,0
team1WithIntUi_metrics_78,Baseline1,1,44222928.0,460922.0,10,2,1,0
team1WithIntUi_metrics_79,Baseline1,0,18468733.0,613282.0,5,2,0,0
team1WithIntUi_metrics_8,Baseline1,0,17875581.0,476399.0,5,2,0,0
team1WithIntUi_metrics_80,Baseline1,0,41304581.0,756722.0,8,2,1,0
team1WithIntUi_metrics_81,Baseline1,0,8570539.0,476792.0,3,2,0,0
team1WithIntUi_metrics_82,Baseline1,1,43716197.0,402809.0,9,2,1,0
team1WithIntUi_metrics_83,Baseline1,0,38954913.0,827311.0,9,2,1,0
team1WithIntUi_metrics_84,Baseline1,1,45721866.0,660905.0,8,2,1,0
team1WithIntUi_metrics_85,Baseline1,0,23478374.0,464021.0,6,2,0,0
team1WithIntUi_metrics_86,Baseline1,0,33498528.0,885655.0,8,2,1,0
team1WithIntUi_metrics_87,Baseline1,1,46331899.0,635758.0,9,2,1,0
team1WithIntUi_metrics_88,Baseline1,0,28382925.0,795223.0,6,2,1,0
team1WithIntUi_metrics_89,Baseline1,0,10564818.0,441386.0,3,2,0,0
team1WithIntUi_metrics_9,Baseline1,0,34515508.0,608142.0,7,2,0,0
team1WithIntUi_metrics_90,Baseline1,1,44128580.0,777741.0,10,2,1,0
team1WithIntUi_metrics_91,Baseline1,0,26600563.0,533121.0,6,2,0,0
team1WithIntUi_metrics_92,Baseline1,1,45501013.0,777533.0,9,2,1,0
team1WithIntUi_metrics_93,Baseline1,0,41429211.0,805890.0,10,2,1,0
team1WithIntUi_metrics_94,Baseline1,0,29725899.0,763073.0,5,2,1,0
team1WithIntUi_metrics_95,Baseline1,0,22208905.0,545640.0,5,2,0,0
team1WithIntUi_metrics_96,Baseline1,0,32167991.0,482247.0,7,2,0,0
team1WithIntUi_metrics_97,Baseline1,1,44338330.0,727700.0,9,2,1,0
team1WithIntUi_metrics_98,Baseline1,0,19896851.0,445579.0,5,2,0,0
team1WithIntUi_metrics_99,Baseline1,1,44263391.0,523517.0,9,2,1,0
team2WithMaskedSaiyan_metrics,Baseline2,0,19647939.0,548403.0,5,2,0,0
team2WithMaskedSaiyan_metrics_10,Baseline2,0,29108329.0,542776.0,6,2,0,0
team2WithMaskedSaiyan_metrics_100,Baseline2,1,44310750.0,255427.0,9,2,0,0
team2WithMaskedSaiyan_metrics_11,Baseline2,0,39123796.0,835295.0,8,2,1,0
team2WithMaskedSaiyan_metrics_12,Baseline2,0,22796121.0,524693.0,6,2,0,0
team2WithMaskedSaiyan_metrics_13,Baseline2,1,45308237.0,637181.0,9,2,1,0
team2WithMaskedSaiyan_metrics_14,Baseline2,0,32721037.0,449681.0,6,2,0,0
team2WithMaskedSaiyan_metrics_15,Baseline2,1,43593204.0,494071.0,8,2,1,0
team2WithMaskedSaiyan_metrics_16,Baseline2,1,43588111.0,731107.0,8,2,1,0
team2WithMaskedSaiyan_metrics_17,Baseline2,0,29570696.0,454819.0,5,2,0,0
team2WithMaskedSaiyan_metrics_18,Baseline2,0,18195914.0,443509.0,5,2,0,0
team2WithMaskedSaiyan_metrics_19,Baseline2,1,43800730.0,544886.0,8,2,1,0
team2WithMaskedSaiyan_metrics_2,Baseline2,1,43543939.0,557924.0,8,2,1,0
team2WithMaskedSaiyan_metrics_20,Baseline2,0,35750803.0,849529.0,8,2,1,0
team2WithMaskedSaiyan_metrics_21,Baseline2,1,43750872.0,469619.0,8,2,1,0
team2WithMaskedSaiyan_metrics_22,Baseline2,0,42009685.0,841616.0,11,2,1,0
team2WithMaskedSaiyan_metrics_23,Baseline2,0,34042352.0,876586.0,8,2,1,0
team2WithMaskedSaiyan_metrics_24,Baseline2,0,17824392.0,472941.0,5,2,0,0
team2WithMaskedSaiyan_metrics_25,Baseline2,0,27520333.0,514170.0,6,2,0,0
team2WithMaskedSaiyan_metrics_26,Baseline2,0,33775674.0,886412.0,7,2,1,0
team2WithMaskedSaiyan_metrics_27,Baseline2,0,25091673.0,581523.0,5,2,0,0
team2WithMaskedSaiyan_metrics_28,Baseline2,0,37935041.0,875326.0,7,2,1,0
team2WithMaskedSaiyan_metrics_29,Baseline2,0,31854180.0,591724.0,7,2,0,0
team2WithMaskedSaiyan_metrics_3,Baseline2,1,45892121.0,551812.0,8,2,1,0
team2WithMaskedSaiyan_metrics_30,Baseline2,0,30292071.0,438369.0,6,2,0,0
team2WithMaskedSaiyan_metrics_31,Baseline2,0,25421874.0,605505.0,5,2,0,0
team2WithMaskedSaiyan_metrics_32,Baseline2,1,45908117.0,432071.0,7,2,0,0
team2WithMaskedSaiyan_metrics_33,Baseline2,0,23052829.0,454650.0,6,2,0,0
team2WithMaskedSaiyan_metrics_34,Baseline2,0,30652700.0,464788.0,7,2,0,0
team2WithMaskedSaiyan_metrics_35,Baseline2,1,43510288.0,512089.0,9,2,1,0
team2WithMaskedSaiyan_metrics_36,Baseline2,1,44374575.0,820559.0,10,2,1,0
team2WithMaskedSaiyan_metrics_37,Baseline2,1,45286792.0,431344.0,8,2,1,0
team2WithMaskedSaiyan_metrics_38,Baseline2,1,45243676.0,693686.0,10,2,1,0
team2WithMaskedSaiyan_metrics_39,Baseline2,0,41953586.0,889337.0,9,2,1,0
team2WithMaskedSaiyan_metrics_4,Baseline2,1,44508273.0,498661.0,9,2,1,0
team2WithMaskedSaiyan_metrics_40,Baseline2,1,45479691.0,831876.0,8,2,1,0
team2WithMaskedSaiyan_metrics_41,Baseline2,0,25250320.0,459011.0,6,2,0,0
team2WithMaskedSaiyan_metrics_42,Baseline2,0,41061777.0,793877.0,8,2,1,0
team2WithMaskedSaiyan_metrics_43,Baseline2,0,22072751.0,466770.0,5,2,0,0
team2WithMaskedSaiyan_metrics_44,Baseline2,1,43721795.0,577635.0,9,2,1,0
team2WithMaskedSaiyan_metrics_45,Baseline2,0,27227457.0,474967.0,6,2,0,0
team2WithMaskedSaiyan_metrics_46,Baseline2,0,27609866.0,443570.0,6,2,0,0
team2WithMaskedSaiyan_metrics_47,Baseline2,1,44558338.0,200067.0,9,2,0,0
team2WithMaskedSaiyan_metrics_48,Baseline2,0,32197856.0,771086.0,8,2,1,0
team2WithMaskedSaiyan_metrics_49,Baseline2,1,43664498.0,847508.0,10,2,1,0
team2WithMaskedSaiyan_metrics_5,Baseline2,0,30002706.0,864161.0,7,2,1,0
team2WithMaskedSaiyan_metrics_50,Baseline2,0,37240300.0,811314.0,9,2,1,0
team2WithMaskedSaiyan_metrics_51,Baseline2,1,44919686.0,769353.0,9,2,1,0
team2WithMaskedSaiyan_metrics_52,Baseline2,0,27808645.0,477748.0,6,2,0,0
