SimulationID,Condition,BossWin,TotalDmgDealt,TotalDmgReceived,Turns,ItemsUsed,HealsUsed,RevivesUsed
team1WithIntUi_metrics_81,Baseline1,0,0.0,0.0,3,2,0,0
team1WithIntUi_metrics_82,Baseline1,1,0.0,0.0,9,2,1,0
team1WithIntUi_metrics_83,Baseline1,0,0.0,0.0,9,2,1,0
team1WithIntUi_metrics_84,Baseline1,1,0.0,0.0,8,2,1,0
team1WithIntUi_metrics_85,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_86,Baseline1,0,0.0,0.0,8,2,1,0
team1WithIntUi_metrics_87,Baseline1,1,0.0,0.0,9,2,1,0
team1WithIntUi_metrics_88,Baseline1,0,0.0,0.0,6,2,1,0
team1WithIntUi_metrics_89,Baseline1,0,0.0,0.0,3,2,0,0
team1WithIntUi_metrics_9,Baseline1,0,0.0,0.0,7,2,0,0
team1WithIntUi_metrics_90,Baseline1,1,0.0,0.0,10,2,1,0
team1WithIntUi_metrics_91,Baseline1,0,0.0,0.0,6,2,0,0
team1WithIntUi_metrics_92,Baseline1,1,0.0,0.0,9,2,1,0
team1WithIntUi_metrics_93,Baseline1,0,0.0,0.0,10,2,1,0
team1WithIntUi_metrics_94,Baseline1,0,0.0,0.0,5,2,1,0
team1WithIntUi_metrics_95,Baseline1,0,0.0,0.0,5,2,0,0
team1WithIntUi_metrics_96,Baseline1,0,0.0,0.0,7,2,0,0
team1WithIntUi_metrics_97,Baseline1,1,0.0,0.0,9,2,1,0
team1WithIntUi_metrics_98,Baseline1,0,0.0,0.0,5,2,0,0
team1WithIntUi_metrics_99,Baseline1,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_10,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_100,Baseline2,1,0.0,0.0,9,2,0,0
team2WithMaskedSaiyan_metrics_11,Baseline2,0,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_12,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_13,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_14,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_15,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_16,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_17,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_18,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_19,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_2,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_20,Baseline2,0,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_21,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_22,Baseline2,0,0.0,0.0,11,2,1,0
team2WithMaskedSaiyan_metrics_23,Baseline2,0,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_24,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_25,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_26,Baseline2,0,0.0,0.0,7,2,1,0
team2WithMaskedSaiyan_metrics_27,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_28,Baseline2,0,0.0,0.0,7,2,1,0
team2WithMaskedSaiyan_metrics_29,Baseline2,0,0.0,0.0,7,2,0,0
team2WithMaskedSaiyan_metrics_3,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_30,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_31,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_32,Baseline2,1,0.0,0.0,7,2,0,0
team2WithMaskedSaiyan_metrics_33,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_34,Baseline2,0,0.0,0.0,7,2,0,0
team2WithMaskedSaiyan_metrics_35,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_36,Baseline2,1,0.0,0.0,10,2,1,0
team2WithMaskedSaiyan_metrics_37,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_38,Baseline2,1,0.0,0.0,10,2,1,0
team2WithMaskedSaiyan_metrics_39,Baseline2,0,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_4,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_40,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_41,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_42,Baseline2,0,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_43,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_44,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_45,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_46,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_47,Baseline2,1,0.0,0.0,9,2,0,0
team2WithMaskedSaiyan_metrics_48,Baseline2,0,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_49,Baseline2,1,0.0,0.0,10,2,1,0
team2WithMaskedSaiyan_metrics_5,Baseline2,0,0.0,0.0,7,2,1,0
team2WithMaskedSaiyan_metrics_50,Baseline2,0,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_51,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_52,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_53,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_54,Baseline2,1,0.0,0.0,9,2,0,0
team2WithMaskedSaiyan_metrics_55,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_56,Baseline2,1,0.0,0.0,9,2,0,0
team2WithMaskedSaiyan_metrics_57,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_58,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_59,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_6,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_60,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_61,Baseline2,1,0.0,0.0,10,2,1,0
team2WithMaskedSaiyan_metrics_62,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_63,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_64,Baseline2,0,0.0,0.0,7,2,1,0
team2WithMaskedSaiyan_metrics_65,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_66,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_67,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_68,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_69,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_7,Baseline2,1,0.0,0.0,7,2,1,0
team2WithMaskedSaiyan_metrics_70,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_71,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_72,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_73,Baseline2,0,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_74,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_75,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_76,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_77,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_78,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_79,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_8,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_80,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_81,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_82,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_83,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_84,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_85,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_86,Baseline2,1,0.0,0.0,10,2,1,0
team2WithMaskedSaiyan_metrics_87,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_88,Baseline2,1,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_89,Baseline2,0,0.0,0.0,6,2,0,0
team2WithMaskedSaiyan_metrics_9,Baseline2,1,0.0,0.0,9,2,0,0
team2WithMaskedSaiyan_metrics_90,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_91,Baseline2,0,0.0,0.0,8,2,1,0
team2WithMaskedSaiyan_metrics_92,Baseline2,1,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_93,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_94,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_95,Baseline2,0,0.0,0.0,9,2,1,0
team2WithMaskedSaiyan_metrics_96,Baseline2,0,0.0,0.0,5,2,0,0
team2WithMaskedSaiyan_metrics_97,Baseline2,0,0.0,0.0,6,2,0,0
